term
acceptance
admiration
adoration
affection
afraid
aggravation
aggressive
agitation
agony
agreeable
alarm
alienation
amazement
amusement
anger
angry
anguish
annoyance
anticipation
anxiety
apprehension
assertive
assured
astonishment
attachment
attraction
awe
beleaguered
bewitched
bitterness
bliss
blue
boredom
calculating
calm
capricious
caring
cautious
charmed
cheerful
closeness
compassion
complacent
compliant
composed
conceited
concerned
contempt
content
contentment
crabby
crazed
crazy
cross
cruel
defeated
defiance
delighted
dependence
depressed
desire
disappointment
disapproval
discontent
disenchanted
disgust
disillusioned
dislike
dismay
displeasure
dissatisfied
distraction
distress
disturbed
dread
eager
earnest
easy-going
ecstasy
ecstatic
elation
embarrassment
emotion
emotional
enamored
enchanted
enjoyment
enraged
enraptured
enthralled
enthusiasm
envious
envy
equanimity
euphoria
exasperation
excited
exhausted
extroverted
exuberant
fascinated
fatalistic
fear
fearful
ferocity
flummoxed
flustered
fondness
fright
frightened
frustration
furious
fury
generous
glad
gloating
gloomy
glum
greedy
grief
grim
grouchy
grumpy
guilt
happiness
happy
harried
homesick
hopeless
horror
hostility
humiliation
hurt
hysteria
infatuated
insecurity
insulted
interested
introverted
irritation
isolation
jaded
jealous
jittery
jolliness
jolly
joviality
joy
jubilation
keen
kind
kindhearted
kindly
laid back
lazy
like
liking
loathing
loneliness
lonely
longing
love
lulled
lust
mad
merry
misery
modesty
mortification
naughty
neediness
neglected
nervous
nirvana
open
optimism
ornery
outgoing
outrage
panic
passion
passive
peaceful
pensive
pessimism
pity
placid
pleased
pride
proud
pushy
quarrelsome
queasy
querulous
quick-witted
quiet
quirky
rage
rapture
rejection
relief
relieved
remorse
repentance
resentment
resigned
revulsion
roused
sad
sadness
sarcastic
sardonic
satisfaction
scared
scorn
self-assured
self-congratulatory
self-satisfied
sentimentality
serenity
shame
shock
smug
sorrow
sorry
spellbound
spite
stingy
stoical
stressed
subdued
submission
suffering
surprise
sympathy
tenderness
tense
terror
threatening
thrill
timidity
torment
tranquil
triumphant
trust
uncomfortable
unhappiness
unhappy
upset
vain
vanity
venal
vengeful
vexed
vigilance
vivacious
wary
watchfulness
weariness
weary
woe
wonder
worried
wrathful
zeal
zest
relax
relaxing
relaxed
spiritual
lofty
awe-inspiring
dignified
sacred
solemn
sober
serious
pathetic
doleful
mournful
tragic
melancholy
melancholic
frustrated
depressing
heavy
dark
dreamy
yielding
tender
sentimental
yearning
pleading
plaintive
lyrical
leisurely
satisfying
serene
soothing
humorous
playful
whimsical
fanciful
quaint
sprightly
dedicate
light
graceful
joyous
joyful
gay
bright
exhilarated
soaring
dramatic
passionate
sensational
agitated
exciting
impetuous
restless
vigorous
robust
emphatic
martial
ponderous
majestic
exalting
alarmed
annoyed
distressed
frustrated
miserable
bored
droopy
tired
sleepy
satisfied
at ease
astonished
aroused
rousing
confident
boisterous
rowdy
rollicking
fun
sweet
amiable
good natured
literate
poignant
wistful
bittersweet
autumnal
brooding
silly
campy
witty
wry
fiery
anxious
intense
volatile
visceral
spooky
mysterious
delicate
lusting
adventurous
self-confident
courageous
ambitious
feeling superior
convinced
light-hearted
expectant
amused
determined
enthusiastic
elated
feel well
amorous
impressed
hopeful
attentive
polite
conscientious
contemplative
friendly
empathic
reverent
doubtful
dejected
insecure
hesitant
languid
embarrassed
apathetic
taken aback
disappointed
desperate
despondent
ashamed
feel guilt
startled
distrustful
bitter
suspicious
impatient
discontented
indignant
disgusted
bellicose
hostile
hateful
defiant
contemptuous
wavering
party
nostalgia
hypnotic
upbeat
sexy
uplifting
brutal
black
cynical
scary
depressive
depression
mellow
heartbroken
romantic
chill
chillout
slow
