term,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
romantic,-0.44480753,0.48938066,-0.45346314,-0.6277872,-1.1559256,0.10378285,0.0031386844,0.33408406,0.085819,-0.22074291,-0.4075065,0.030265722,0.23490834,0.036816448,0.03073744,-0.26669762,-0.8151808,-0.29322174,-0.17224082,-0.120182775,-0.01945283,0.6624041,0.3485087,-0.22477217,0.24337366,-0.061579797,-0.11124699,-0.49245125,0.27057377,-0.151827,-0.35129657,-0.30336827,0.27078286,-0.04555718,-0.20217346,-0.06762307,-0.14824924,-0.2636501,0.17573258,-0.02157946,0.5896488,0.326549,-0.035870086,-0.87091595,0.26756713,-0.012162409,-0.7893832,-1.1116658,-0.2284505,0.17498983,-0.07561213,0.28549024,0.8973865,0.09502544,-0.6013961,-0.18043867,-0.0789273,-0.21248381,0.9539912,0.37681434,-0.70903397,-0.6125361,-0.4007758,0.20204599,0.18716228,-0.091185965,0.9494861,-0.056634042,-0.23926723,-0.49718022,-0.23802899,-0.16717206,-0.01467579,-0.35819918,-1.114713,-0.054887816,0.5424593,-0.46449995,-0.13634413,0.4023893,0.34826633,0.23670875,0.06410462,0.47691733,-0.008893558,-1.3675269,-0.41092718,-0.038260557,-0.08695329,0.013072408,-0.3848962,0.9295014,0.26731157,0.34425923,0.7364049,0.061273362,-0.43349946,0.19530569,-0.32509407,0.13780652
sweet,0.5539522,0.36783594,-0.37830272,-1.0742004,-0.28552055,0.14967842,-0.03146709,0.16418056,0.34863397,0.369967,-0.038574066,-0.098167144,0.45594808,-0.4474583,-0.28100532,-0.7544207,-0.5977192,0.004730241,-0.05147128,-0.19691557,-0.1742387,0.09168469,-0.020532737,-1.1838764,-0.031053191,0.32736292,-0.30527505,-0.3924855,0.14359453,0.4663578,-0.5773526,0.4763243,-0.49746013,0.04433728,-0.3787839,-0.14430706,-0.56420654,-0.43607533,0.12149556,-0.6868051,-0.78611195,0.5823191,-0.3011194,-0.6877125,-0.72812533,-0.064392865,-0.46695364,-0.5588011,0.41736743,-0.040228,0.048018478,0.24321458,-0.563496,-0.5471582,-0.24468337,-0.15469684,0.6281823,-0.363091,0.5346078,-0.018651584,-0.082263656,0.3069847,-0.019198734,-0.024614194,-0.8651335,-0.77681565,0.5313232,-0.33447543,0.07696641,-0.7156476,-0.40056482,-0.25153902,-0.26918882,-1.1240492,0.23219639,0.08238441,0.514919,-0.34391317,0.15908271,-0.1604642,0.12202471,1.2104493,0.19934827,0.39286664,-0.02646458,-0.5270093,0.46484578,-0.011302575,-0.0013361752,-0.3334619,-0.6876737,0.18943304,-0.08283116,-0.03510549,-0.7875462,-0.1436278,-0.21271653,-0.06602957,0.06870634,-0.5814613
dancing,-0.681067,0.031846188,-0.8379764,-1.8229767,0.032582592,0.33122978,-0.14530966,-0.6040585,-1.05758,0.16035585,0.1392397,-0.49896637,0.58410084,0.9463644,-0.43058994,0.14688416,-0.08862427,0.25984764,-0.6067149,0.5582396,-0.53532654,0.916131,-0.7770232,0.03479184,-0.10865265,0.09246919,0.31203946,-0.5104872,0.7612122,-0.65174735,0.2011456,-0.89043504,0.56920224,0.080448195,-0.1943275,0.043939993,-0.2836324,-0.3477776,0.014873937,-0.7178622,0.65037626,0.7922894,-0.57719016,0.106834546,0.41010654,-0.06864574,0.22691086,-1.7360872,0.5333578,-0.11657105,-1.5030774,0.86470103,-0.11869847,0.7155139,-0.21392132,0.0689216,0.037759103,-0.30916247,-0.21623102,-0.27328727,1.0784141,-0.86172533,0.7503357,-0.11082675,-0.11676469,-0.58952653,0.27110004,0.12803891,0.078624114,0.31041297,-0.1354504,-0.36239475,0.92547506,-0.15750901,0.14210097,0.21048988,-0.41078472,-0.016990567,0.17798,0.044118997,0.81977093,0.055546645,0.7400267,0.74551666,0.105897434,0.083212346,0.2758346,-0.4679425,0.63727444,-0.46860084,-0.2626267,-0.31089866,0.8052753,0.23239273,0.5409778,-0.3700212,0.22445254,-0.33646864,0.16162208,-0.7978871
fun,-0.03994794,0.45195904,-0.85836214,-0.6486596,0.028936498,0.5082118,-0.4577865,0.014425856,-0.20003483,-0.4879964,0.34734184,0.22423318,0.21913104,0.013550526,0.23608266,-0.3319367,-0.7993955,0.29355216,-0.45058563,0.6180797,-0.35237828,-0.11496954,-0.6692469,-0.35528868,-0.31456634,-0.43870792,-0.06340487,-0.44498175,0.35858825,-0.075505435,-0.2708651,0.16856448,-0.23550038,0.19341867,-0.3083431,0.32124373,-0.8838162,0.014961647,-0.96074283,-0.0029618149,0.2641995,0.49886838,-0.38386604,-0.5083871,0.83085924,-0.57183194,-0.40843204,-0.9041409,0.17686123,-0.6342517,-0.07515508,-0.090472884,-0.075337656,-0.31979087,0.34566644,0.012602386,0.47104904,-0.5212805,0.13681768,0.06419964,-0.21620657,0.6937109,0.66837424,-0.23484913,0.3211093,0.7804416,0.35327783,-0.2734285,0.051415727,-0.27550948,-0.24103646,-0.047732785,0.51506597,-0.30248216,0.15380776,0.018533388,0.21406913,-0.05671421,0.010339537,-0.27587223,0.14373279,-0.19183034,0.06284466,0.3360818,0.23325959,0.26595387,0.5429998,-0.8314781,0.48893824,0.102670684,0.06614611,0.58227026,-0.75749034,-0.1802767,0.44637963,-0.24342641,0.7174275,0.33800393,-0.09985614,-0.2938097
uplifting,-0.0182312,0.82964873,-0.8068654,-0.8287128,-0.015368428,0.68575865,0.16884214,-0.6327068,-0.5628253,-0.53505385,0.093753435,0.37516418,0.4605351,0.5563718,-0.47412997,-0.6858786,-1.0977474,0.38801768,0.01202305,0.4965469,-0.78651273,0.5733866,0.25279728,-0.6330322,-0.30408135,0.13137114,-0.022911062,-0.29271314,0.39057717,0.14814177,0.058847755,0.6444845,0.15406717,0.12526739,-0.67072076,0.20186374,-0.4397919,0.49762392,0.18266448,-0.5081941,0.0058412766,0.63288265,-0.28424382,-0.042774353,0.55958635,-0.48875958,-0.019494483,-0.07264345,-0.014528371,-0.19655846,0.05615016,-0.23117718,0.48696843,0.053641178,-0.16714135,0.016094394,0.1723343,-0.1071001,0.022276437,0.540366,-0.08243555,0.12942973,0.03979749,0.16876599,-0.44977382,0.58862066,1.096758,0.6182995,-0.63209367,0.41930932,0.9214528,-0.02557975,-0.1149432,-0.41937295,-0.36357784,-0.24307014,-0.41503316,-0.2986631,-0.18303588,-0.4418532,0.002813539,-0.4902057,0.0035556818,0.21249571,0.1347069,-0.8548379,0.5060962,-0.58319384,0.32648882,0.2010073,0.17524315,-0.29647538,-0.50678414,0.2327872,0.45620307,-0.18671688,-0.13354863,-0.08041363,-0.11870868,-0.30017668
pleasure,-0.13150434,0.5650096,-0.9417785,-0.6250823,-0.4637741,0.38028184,-0.8985192,-0.61744505,0.14445081,-0.37826613,-0.4491246,-0.49898252,0.62856036,-0.45955303,0.25865942,-0.049173158,-0.82064265,0.49443233,0.13850036,-0.024408966,-0.6963454,0.06886386,-0.53467166,0.3855812,-0.24106544,-0.08272577,0.15518151,-0.12838359,-0.26259524,-0.033384975,-0.054737907,-0.076202355,0.69683665,0.2478102,-0.094883986,-0.10100927,-0.20589866,-0.6321432,-0.39605436,0.08611465,0.39837864,0.080300346,0.9430598,0.042701855,-0.2657191,-0.45223388,-0.10205647,-0.6747797,0.3866105,-0.5199626,0.23136638,0.23253435,0.034684047,0.08539461,-0.47387168,0.06337252,-0.12888975,0.33528852,0.2587383,0.85730463,-0.099580124,0.34558553,0.55946213,-0.22351816,0.0181526,0.22205736,0.841399,-0.11818344,-0.018851517,-0.31947303,0.51187783,-0.49956697,-0.6290758,-0.65980124,-0.68485767,-0.8887691,0.081201546,-0.74847144,-0.13172625,-0.011585466,0.67809325,-0.14134055,0.55605954,0.1703604,-0.10242164,-0.41629064,-0.31717148,-0.92451465,-0.114165455,0.50252384,-1.018457,0.70899284,-0.40175825,-0.24242368,-0.32277462,-0.7479852,-0.20954034,0.089569256,-0.46663392,-0.515673
aggressive,0.34977657,0.52431524,-0.94438505,-0.0045964397,0.6341082,0.48417184,0.2778261,-0.7812044,-0.06272708,-0.8312609,-0.18321347,-0.17781685,0.39362296,-0.4535491,0.21874656,0.24049576,-0.12896071,0.13503756,-0.031932697,0.28088355,0.4125453,-0.16830593,-0.8957674,-0.35282382,-0.6088631,-0.21029878,-0.057081465,-0.64349496,-0.013847388,-0.5300104,-0.09822237,-0.61385036,-0.4489038,0.5403372,-0.7807373,0.26333538,-0.6343532,0.0808168,0.38848507,-0.292536,-0.17689502,0.36582085,0.29321107,-0.13394189,0.067193404,0.25317156,0.07572025,-0.48923677,0.09512936,-1.0555433,-0.4488595,0.22681779,0.21401955,0.5370813,0.3285431,0.1231362,-0.15980572,0.22977963,0.6498329,0.11185197,-0.18090566,-0.0189554,0.62136006,-0.586747,-0.32849592,0.30036402,0.39071032,0.60201794,0.15681444,-0.5073703,0.4884597,0.6086654,-0.43322018,-0.57426065,-0.06052049,-0.5898911,-0.17298894,0.18834679,-0.33331436,0.09737693,-0.23577628,-0.2511804,0.12623894,0.3185608,-0.19479302,-1.00196,0.0040244013,0.3934713,0.53753424,0.06776782,0.84549505,0.20257397,-0.1839663,0.6668533,0.11482854,0.17478138,-0.110735945,-0.017097235,0.0021004898,-0.4734072
angry,0.6183329,0.26563528,-0.20626344,-0.26685792,0.34867725,0.35821974,-0.05939623,-0.7856518,-0.020103144,-0.66475797,0.051205914,-0.3885768,0.24544567,-0.30991456,-0.09759439,-0.4613222,-0.48304704,0.12828721,-0.48078772,0.002346236,-0.3533792,-0.08405324,-1.1015545,-0.20436503,-0.5724106,-0.5946574,0.23171908,0.10199967,-0.016662158,-0.91629946,-0.62490225,-0.46423995,-0.13017687,-0.39147142,-0.025553085,-0.25871783,-0.6926589,0.41496137,-0.08600221,0.1438783,-0.2811812,0.59492844,0.1812526,-0.3779987,-0.01335836,0.3119059,-0.7544475,-0.4753245,0.24824664,-0.41766158,-0.27269346,0.8452377,0.14239411,0.38929954,-0.577638,0.2137078,0.66687524,-0.51671976,0.20936528,-0.10080103,0.21542935,0.44001698,0.23907515,-0.1816758,-0.22650035,-0.39931226,0.49230957,0.2298508,0.28921568,-0.5856999,0.13887589,-0.07441862,-0.14616069,-0.2622829,-0.35121238,-0.69303966,0.14855763,-0.05699163,0.22766718,-0.10143691,-0.4216308,0.019309364,0.220512,-0.04814288,-0.30502516,-0.9225088,0.49084887,-0.067532174,0.6674962,-0.09510808,0.19795185,0.62310994,0.25214237,-0.30768275,0.5796215,0.61331207,-0.07163335,0.25531107,-0.45635688,-0.12750526
haunting,0.22541101,0.09945855,-0.5594193,-0.7000628,0.076598205,0.17934442,0.20189889,-0.5450891,0.9043515,-0.11173835,-0.54809546,0.249566,-0.10832489,-0.32408252,0.02274819,-0.007379758,-0.5915745,0.13610733,-0.21021101,0.578212,0.0063519147,0.9281279,-0.16279997,-0.60071254,-0.11135286,0.13183561,-0.1998821,-0.7727875,0.75982416,-0.046862442,-0.8348567,-0.16103607,0.30492833,0.14859429,0.09077408,-0.5535732,0.04188155,-0.059308246,0.36408624,-0.17366399,-0.5942935,0.5841342,-0.04720472,-0.54853904,-0.23883373,-0.573272,0.29983464,-0.9677192,0.8165409,-0.32953337,-0.4742946,0.121475056,0.1794037,0.049617853,-0.4085278,0.5245031,0.5306306,-0.5613503,0.30019945,0.47532746,-0.362687,0.074584424,0.26252508,-0.39400688,-0.46993825,0.052249704,0.6686633,-0.49330124,-0.7649275,-0.013401679,0.060121916,-0.2920636,-0.027634878,-0.39718148,-0.32459354,-0.5663918,-0.38398662,-0.058002017,-0.15272045,-0.57473755,0.17353114,-0.35081714,0.6817131,0.07758391,0.0029008526,-0.91034347,0.08155449,0.56918156,-0.28075287,0.12386863,-0.06291979,0.63656783,0.48527247,-0.119635515,0.13867073,0.378588,0.32508788,-0.010926966,0.36302432,-0.06483252
soothing,-0.18274558,0.14496385,-0.50502074,-0.48904034,-0.97439325,0.4242034,0.188597,-0.4914708,0.78541905,0.05765202,-0.13736469,0.29711384,0.27446964,-0.11206251,0.23231569,-0.454879,-0.6800217,0.2623651,-0.005290682,-0.12613755,0.3677072,0.7252971,-0.2036677,-0.26372218,-0.4788924,-0.58977884,-0.67864585,-0.74489695,0.8083355,0.26554376,-0.47842607,-0.2593929,0.17815115,0.2165038,-0.47903126,-0.73114276,-0.25615165,0.3902108,-0.3313802,-0.47217837,-0.48291722,0.9778269,-0.12918162,-0.3052046,0.23727688,-0.06916924,-0.039859954,-0.95645064,0.6943256,0.016667398,-0.2687549,0.1718805,0.012553508,0.14029214,-0.1565832,0.06132379,0.1292893,-0.11083267,0.68352276,0.15114583,0.27121165,0.21045786,0.119088456,-0.17843053,-0.9070127,-0.7671687,0.4123168,-0.4598249,-0.76543665,-0.55003273,-0.044618882,-0.27640694,0.08076061,-0.84923935,-0.27943745,-0.43147144,-0.015944062,-0.13810702,0.6006201,0.022893725,-0.3470465,0.5060747,-0.04849975,-0.11501945,-0.03243827,-1.124637,0.08521333,0.1761696,-0.59301895,0.11073266,-0.81927025,0.07732141,0.035788707,-0.06976123,-0.24482773,-0.15466711,0.2200214,-0.1170371,0.005658619,0.2107581
