0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,term
0.5238466,-3.2198863,-3.8140998,4.399363,3.914489,-6.8357363,-5.284893,1.9737325,0.39142272,5.5951123,6.2079983,4.9476595,13.611771,1.7030892,-1.7528971,-4.446737,1.7603512,0.8253416,-1.588787,-6.167941,4.0134025,-4.036606,-2.9270172,0.29079938,2.056752,-1.0939658,-1.4116063,-0.9425942,-3.136194,0.3511553,7.5540404,-3.133399,alternative rock
-4.6260877,-2.9649005,-4.9540176,4.155915,0.024056615,2.4095612,2.8650157,1.3264023,-1.4042405,-2.2668035,-3.4483857,-3.8547378,6.3690968,4.408244,-2.072327,-1.6223197,0.53808784,-4.014637,-3.12123,6.7799196,2.52124,5.2181616,-7.2427354,8.125493,-2.126321,-2.4365332,8.545379,-3.1224053,-7.3959994,-8.033387,-2.516627,-0.57240444,rock
-1.950452,-2.0224981,-3.1445994,6.929475,-0.36407897,2.0124602,-5.904109,-5.729807,-2.6038237,1.679876,-1.7665653,3.5599296,6.094781,-4.550175,0.5027746,-0.2123681,0.5670746,3.26547,2.5589035,-4.361042,1.0825636,-4.9775934,3.1078506,7.255947,8.316795,-5.8950734,10.386895,-7.2212634,1.1526436,-2.4902353,3.5890496,-2.111581,hard rock
-1.464676,-2.646165,-4.938461,5.207849,-1.7271909,-1.9422959,-4.1880517,6.5689344,2.728455,-4.2551107,4.2828007,2.8942013,8.067271,-10.225586,-7.4169245,-4.439363,-0.94410616,6.8152256,0.7655052,-2.836085,5.997034,4.715985,2.1255686,-1.5767266,3.8422656,-2.880702,3.2844183,-8.940542,4.2981086,-2.1068969,0.34261075,1.4157321,heavy metal
2.3389914,-5.5812707,-0.17395742,-3.341249,5.5966535,-4.4347134,-3.1648767,-5.1794934,0.3229384,-0.1993778,-0.57412386,3.4738815,6.082399,-0.0058993585,4.2578826,0.0382162,-2.118576,-4.4940596,5.6195064,-5.9700165,6.6477013,4.629662,-3.018876,-1.8467752,5.9144635,-3.4598308,6.7972035,7.578838,2.4168265,-3.4855242,-0.5066176,6.107212,00s
3.1949298,2.9283364,-8.929087,0.33984053,1.8622391,-1.2902255,-7.561305,-0.6690556,-6.659297,3.5916631,0.108684376,5.169775,-5.2167687,-4.801874,3.4106297,-3.4579875,-5.820434,3.0001247,-1.8776757,3.1605422,2.519672,2.0915332,-0.8520592,0.7195841,4.309699,6.2704334,-0.13689807,-5.55288,-1.6566478,-4.000929,4.950421,3.5324178,5
2.4601884,1.028521,-4.9623046,5.0010686,5.663645,2.950519,-2.6874392,3.933036,-2.5378444,2.8173347,1.7299124,7.6237144,-1.4675279,1.5294906,-3.4082408,-2.4948022,-6.238139,-0.062871926,-3.5451202,-0.25851488,0.63511294,4.819963,-4.3223214,-0.19231269,-1.319594,6.8640766,-2.91277,-0.62707204,4.414354,5.78981,-2.364063,0.80834424,check this out
0.10757444,0.27699208,-10.337092,-0.47558108,-2.62484,-4.8117976,6.3824096,-3.2338047,4.7353168,0.8482657,0.24906307,0.55742484,-4.640917,-6.13668,-4.75421,-4.5717487,0.9534502,0.34780663,6.498914,6.0371327,-0.60195655,3.3263311,-4.0848365,1.0315257,5.7486687,0.50870425,7.0269985,0.77700526,-0.1542109,-1.7302289,1.3724378,0.19217049,bay area
-2.3933563,3.4422224,4.0166917,3.4180934,-0.8248054,-6.149853,-6.213257,-5.6967125,3.2461462,-2.8188927,-1.1268284,4.8563614,0.4661878,-4.3449664,0.08779256,7.5147605,1.4757346,4.8371735,4.292417,1.2818893,-8.401298,2.6959393,2.242838,-4.949081,5.8777704,-2.1747217,3.2009711,-10.199851,-1.0150023,-7.1562443,-0.86366,0.60125184,classic
-3.8147366,-1.4682267,4.885878,-2.5596054,0.5913302,-0.85697937,-2.2078016,-1.5041385,-0.6640369,6.5339046,3.5032363,4.5647316,2.450059,2.700736,5.358694,-5.126026,1.82602,-6.3230624,6.64192,-0.30317247,-7.017285,-3.4640446,2.529738,1.8961467,7.585317,-5.8679047,3.9020047,-2.629791,3.0543451,3.0854373,-4.487872,4.870845,hip-hop
-0.4379894,4.9918556,-0.3260228,6.922167,-3.8110824,1.5692682,4.870588,1.9587468,1.2239574,0.25563335,3.2156446,-5.511496,-0.45530206,0.2894999,-2.4352612,-6.6620607,-1.7232853,-3.7585607,1.5175045,10.987375,-2.4311318,-3.9709766,-1.0255921,1.1945852,9.721651,4.1207547,6.0650997,3.8786585,1.6001315,0.4553692,-5.5975723,5.134424,stream
-2.3645675,4.9529834,-1.2991544,2.5672603,-2.969384,0.44964257,5.637641,-3.4099827,0.593004,-3.7779198,1.3770573,-3.4223406,-6.1658025,0.9805803,3.082655,-1.7585276,1.3050475,0.18840252,3.2644253,2.1851902,-3.8319235,2.11215,-1.1159338,6.9083476,4.2105875,2.736695,0.0098269675,-1.2417673,0.42749637,0.059358545,-1.2108393,0.78526086,1979-2006: a hip-hop odyssey - 800 tracks in a 48 minute mix
-2.0783856,-1.833639,11.140747,3.6898944,1.1791637,-2.9307208,-0.7936341,3.3747365,4.125375,-2.4237347,3.983716,0.23087865,7.521178,-1.3539059,-9.756484,-3.9518,-0.1335814,-4.819824,-3.2290356,0.4522319,-8.679432,-2.2987235,2.514338,-5.433862,-3.7899086,-1.4821497,2.5379722,-4.2151384,1.051544,-4.716475,2.4694955,-3.9525745,60s
-0.18014991,-2.0657413,8.594259,2.1974084,6.0592537,-1.7855859,-3.2213554,2.7842822,3.1671543,3.8250394,-4.164132,4.8568196,-1.6056072,-2.5282104,-2.4200737,0.3426093,-0.53300893,-7.53152,4.7008047,10.89509,-3.0291734,5.34434,1.1459777,0.83805484,0.122434504,-1.1193457,0.21093944,-4.357852,0.014664456,-7.5455985,-3.9701982,8.392901,soul
4.140368,-4.973668,1.4715317,4.436508,0.9403005,-2.0299952,-5.3469357,-1.8209417,1.4163175,6.2623863,-1.3337939,9.136885,6.4840302,-2.6807199,6.163729,-2.4212568,4.4310527,-3.6663191,2.4052324,-2.0818205,-8.127617,6.6240296,3.991951,0.25606766,-4.0481977,5.2566857,8.11972,-3.7264931,-0.37169573,-5.5632234,0.7156748,-2.8064716,pop
3.3245063,0.7085002,3.507138,-7.727584,2.56049,-5.7503934,-6.8059297,-3.9583802,0.72639036,-1.2160777,6.5391564,6.8375793,5.270643,1.5277327,-0.8389551,6.1747293,0.021205848,-2.062903,2.208035,5.0712557,-2.1838028,-1.6126035,4.3251452,2.046715,3.760027,-4.838862,6.8709764,-0.15386717,-5.300786,-7.149456,5.0396113,-1.4385899,male vocalists
-2.0786462,2.5560925,9.191759,6.186893,-1.0984453,1.1587021,-2.7285998,-1.4599894,4.255641,1.0189823,1.2962738,3.890232,3.1754825,1.6520942,-6.464783,-0.5269572,5.5705743,8.918703,2.9902747,1.7590739,-2.5511882,3.1255949,7.83438,1.6459283,-5.6066585,-9.451142,6.1137576,1.7178062,0.8000482,-8.2422,-1.4749905,1.1453145,oldies
5.372878,0.47781655,6.018205,1.9405735,-7.960845,-6.010324,-3.5539088,-0.43946227,-7.7470117,-0.22851658,0.505053,4.170266,-0.5938179,-5.40485,-8.146024,-2.4391282,1.9519038,0.5051161,1.8142241,2.2632535,3.1665795,-4.251063,3.8753922,-2.4322002,-5.2128353,0.8669135,-1.1421733,-1.7927009,-1.7657263,-1.2633404,1.8209909,-1.5581163,1969
-4.0824375,3.6794453,2.2269433,-10.78017,-5.7516246,-1.6634854,-2.1912327,1.1570904,-0.037013955,0.79468286,-5.873843,2.1745398,-1.0062532,-2.4786165,-1.8324624,-3.2248404,-0.9377704,3.360468,-1.0384779,4.455554,-8.487638,0.7503712,5.945485,-2.938501,-2.8414583,1.3071383,0.37311056,-0.38429394,1.9034989,-3.5350344,5.1813383,1.7619474,close harmony
1.2113912,-3.0411162,5.429783,5.6488237,-4.8618455,-7.718073,0.8904412,1.9097732,7.097164,2.1635711,2.0237842,3.8151736,1.823335,1.8356059,-4.2368517,8.245534,4.398851,1.1037614,5.8490357,-3.8400762,-3.9479458,-4.509751,6.730139,0.26872215,-8.301728,0.46354535,-1.8242719,0.733383,0.28942516,-3.7133052,5.5186644,0.8708886,1960s
-0.48224464,0.0774221,1.1439667,-4.7604356,-3.6427388,-4.145661,-0.58471143,-4.493999,2.089868,1.8606954,1.956825,5.852695,-4.900184,3.911556,-3.622554,-2.4295669,-1.7153294,6.34084,0.8222976,-5.852725,-5.422365,-5.4875045,-0.65825087,-0.13558745,-6.05406,0.9678406,3.9108837,7.641262,0.20952041,-4.412695,6.7188244,-0.607463,sixties
4.436188,6.0451026,1.2823508,-2.534277,0.69600815,0.6518225,-4.4956765,-2.6773846,8.7448015,0.91239846,3.4133642,0.5431076,10.644994,-3.7051675,-3.5068352,3.0327628,0.55001825,-0.86445326,-4.2653193,-3.8861804,-4.020385,3.5512254,-1.7623191,-7.1510367,0.12054024,-1.7901633,4.550309,0.5765317,1.2627039,-9.448852,-7.405336,4.3764124,beautiful
