0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,term
0.28571993,0.92756695,-1.2956544,-2.365761,0.27895978,-0.4355481,1.1565435,-0.406302,0.22342134,0.36210513,0.8188643,-0.33624572,1.0576704,0.8514121,0.51151264,0.9362413,alternative rock
0.3155353,0.5693263,-0.32388407,-2.23609,-0.024070095,-0.00821833,0.009341306,0.79712665,0.2417356,0.76933324,-0.31335822,0.40314966,0.41009715,0.15856676,-0.14842086,1.0381354,rock
-1.9335626,-1.3203773,-6.799063,-3.5834913,-0.84326994,-0.45393017,0.16081677,2.073021,1.3229061,1.6628317,1.2526864,1.4285848,0.5541478,4.033198,0.24649487,2.4484544,hard rock
-0.5583405,0.3427817,-1.8257178,-1.8647211,0.63737214,0.86168414,0.25477412,1.7280822,0.7037463,0.5916631,1.5008508,-0.24579382,1.8299103,1.9142013,-1.9589833,1.7111368,heavy metal
1.6415129,0.2529401,-2.728751,-1.1978273,-2.9531882,0.3806078,0.5390078,0.7646411,-0.15049697,-1.7036446,2.8770006,-0.063805714,0.38028783,0.75647694,1.2513877,2.177295,00s
-0.12760147,0.08248401,0.7150148,-0.3964601,0.47115904,-0.57454884,0.30116993,1.4275855,-1.5805155,0.12263202,0.74994177,-0.31661344,1.1525337,0.50321895,-0.5882071,1.7044276,5
0.8886943,-0.3352773,0.24759156,-0.74372685,0.2787199,-0.32614338,-0.22559899,0.08923115,-3.3423874,-0.35636127,0.999098,-1.0917873,0.80928487,1.5199795,-0.47291937,2.0242565,check this out
-1.4158375,-0.8077136,-3.0302017,-0.45306104,-0.116568685,2.166187,1.7610887,3.0947638,-0.279705,0.04554129,2.5633733,-0.17790593,2.1730287,3.2953832,1.9159278,2.2236993,bay area
-0.62494695,0.5593685,-1.6700017,0.9575166,-0.68102247,-0.10248182,0.7551424,0.73167187,-0.78112733,2.6251085,-0.37967792,1.5556214,0.1755344,0.9245306,-0.49589846,0.18870895,classic
-0.051935967,2.9548635,-4.6045732,0.61025196,-0.5624187,3.3954892,-0.83239675,0.1864266,-2.2758064,0.43049,-0.6248982,0.4994096,2.0685933,0.37768006,0.96426755,3.7535703,hip-hop
-0.92007786,1.1367117,-3.8147907,0.9370752,3.1956089,2.855828,1.215922,0.77351993,-5.566492,-0.25074828,2.9136977,-1.1719669,1.6778324,0.57010454,2.4599047,4.117037,stream
-0.13774683,0.3157105,-0.31452405,1.2623608,0.3408361,1.4929776,0.04418927,0.9741529,-1.8313113,1.1601862,-0.3362097,-0.18033662,1.0053086,1.7964957,0.6697837,1.516518,1979-2006: a hip-hop odyssey - 800 tracks in a 48 minute mix
2.2486389,1.0544454,-3.0545442,-0.60067827,0.7297849,1.9641596,0.44565183,2.3503814,1.064441,2.4842126,-0.2626169,1.2265117,1.5668485,-1.5540805,-1.2422136,2.2498465,60s
0.1987764,1.6592234,-1.4343902,0.11609161,0.6164608,-0.35970944,-0.4293508,1.4943215,-0.18119888,1.3458714,-0.32111636,1.1903148,0.5020526,-0.6305483,1.3749352,2.3663552,soul
1.1107918,1.8831263,-1.10376,-0.5932313,-0.27341884,0.25365403,-0.52893776,1.4017764,0.07100879,1.2928284,-0.06606936,0.17802335,-0.6497857,0.256217,0.50262755,0.11992727,pop
1.8006846,-0.4135509,-3.6849773,-0.9955994,-2.1854904,-2.1842926,1.5774896,5.5271425,-1.7537879,-0.15940878,1.2130871,1.1658612,0.4722969,-0.046556734,-1.5937084,-0.55246955,male vocalists
0.77398205,2.0122852,-1.2193023,-0.56763554,0.73683923,-0.87063336,0.7636647,2.6866808,-0.18316476,1.9839686,-0.08952896,0.8354012,1.4408568,-0.8819545,-0.0039562164,-0.2656912,oldies
1.2062429,0.21894006,-0.60387903,0.12834403,0.39523864,-0.6508863,0.17652318,1.0809785,-0.006020862,1.3227788,-0.93290246,-0.3474835,1.5566074,0.23531516,-0.36774105,1.7510556,1969
1.6470625,0.055109482,-0.08832066,0.3520249,0.2306112,-0.38162974,-0.18944192,2.4828427,-0.8398524,0.3109492,0.095440306,0.015022683,1.5853564,-0.233596,-0.46954024,0.8972341,close harmony
2.2377546,0.71496636,-1.1666424,-0.106418826,-0.75588566,-0.45105603,0.37424225,1.0727592,0.5947218,2.075352,0.030027414,0.11918726,1.585805,-0.16529803,-0.68291324,0.86387897,1960s
1.662966,-0.40553996,-0.75252205,0.584181,-1.229141,-0.41489658,0.20200358,2.3738487,0.10966876,1.6634334,0.34771737,0.04962703,1.2262051,0.2961787,0.21003391,1.2049882,sixties
2.7496843,0.14976303,-4.2447414,0.97530353,0.10626809,-1.5012008,-1.1259154,-0.91023844,0.34633878,2.3513868,3.5356598,0.37763843,-0.56760913,2.6728108,-0.4037124,-1.476362,beautiful
-0.3016509,3.280603,-3.3841195,-2.0869083,0.047020804,-6.549733,-0.11183756,1.5278068,-0.9750004,0.097586244,1.0429016,3.9060602,-1.7871959,3.1441898,0.56179273,2.2619448,love
1.5143069,-0.031619262,-0.037433095,0.25542188,-0.13841148,-0.4574728,0.29394636,1.8417705,-0.27079493,1.2257773,-0.7943324,-0.034710135,1.7277327,0.3865507,-0.3498786,1.8778306,60's
1.6696705,1.295845,0.021866528,0.6897705,-0.09839705,-0.3713848,-0.5338956,2.2956789,-0.6396018,2.1025786,-0.4655894,-1.1609262,0.9177947,0.4693821,-0.48917717,2.017703,1960's
1.4702109,0.18187355,-0.093582116,0.9337374,0.42389563,0.32904613,0.35361487,1.9687182,-0.4210451,1.0203805,-0.15428703,-0.78412765,0.3825387,0.56849504,-0.27574125,1.3185574,jukebox heaven
2.3836114,0.25883278,-0.5966595,0.59749144,0.7626474,-0.05798653,-0.2626543,2.8175106,-0.08483515,1.5629864,0.20640545,-0.54584134,0.48089135,0.28964505,-0.31224194,1.0582672,60s gold
2.0181992,0.20119515,-0.8410496,0.9463914,0.45769137,0.80394834,0.06463173,2.6816862,-0.8005179,1.0356908,0.4136352,-0.7261509,0.31088695,0.41316947,-1.0393871,1.1806551,gh10
0.58734846,-0.065481015,-0.29764366,0.5381038,0.51401556,0.10160604,-0.3100351,2.0824742,-0.9760032,1.7413727,-0.3074919,-0.124682136,0.015679566,0.7166465,-1.3429854,1.5528754,radiotsar approved
0.4274595,0.249979,-1.7746363,-1.2286226,0.83700806,-0.8184451,-0.6486775,2.1778848,1.5846784,2.9020424,0.619117,0.496125,0.03529138,1.0160083,-1.2505225,1.3256048,classic rock
2.2184498,-1.9837139,-4.480417,-1.784218,0.3060107,2.429482,-3.0075352,-0.29329836,1.3475488,5.113242,-0.40207812,3.58462,1.3526162,0.44455063,0.7551602,3.8558211,psychedelic
-0.3588603,0.22245152,-5.2710176,-2.093649,4.3792953,0.12629925,2.2940667,2.2376864,1.0577824,2.9200475,-1.6674114,0.88749766,3.1676295,1.2355351,-1.1714982,3.170047,blues rock
5.12851,5.630634,-1.0916193,-5.4986243,3.4066265,1.6620166,1.2411284,3.115424,-5.3407907,4.4845543,-0.83672833,1.6027819,-2.2504838,-1.3811581,0.80331177,2.6438973,latin
-0.2624248,0.9661671,-1.372567,-1.1561208,1.4681586,0.03611465,0.45383242,0.72782236,-2.0423918,1.4157839,0.6359775,0.68231106,0.5569593,-1.7084724,0.5561429,1.1765473,jazz
0.97349656,1.0955282,-0.886947,-1.5859946,0.39188275,-0.7839434,0.2482321,0.42801577,0.06610521,0.9961063,1.1967793,-0.53996587,-0.13215129,-0.28828895,-0.13381094,0.7312615,singer-songwriter
-1.9826214,4.375604,-13.677757,-2.247977,0.5438127,-5.3546376,-2.8166516,-2.483734,-8.336713,5.9432683,9.279711,-1.2001137,-1.8647346,-6.016362,-3.784376,4.959829,piano
2.5732594,-0.44894925,-4.1317606,0.456568,0.60471916,-0.82262206,1.1549823,-2.5891764,-0.81430393,0.48076078,0.62280333,1.9753933,2.408365,0.87234706,2.5164266,2.034763,chill
5.2437816,3.0432966,-7.481057,-8.162155,0.81812704,-1.2803636,-7.1514077,4.814175,-2.490023,0.10823156,1.1612508,0.30131197,4.948553,0.69572735,0.610566,-6.1648765,british
1.0282303,2.7309554,-5.3792634,-1.2550893,5.696461,0.7651976,-1.414727,-1.5783315,-2.5577686,4.4095864,-0.43323356,3.629574,-3.0911953,2.3223774,1.1230843,1.1531632,chillout
2.3779385,1.2771509,-2.602081,-0.6728192,0.5536307,-1.4474399,1.2179112,1.750832,-1.0128503,1.0813668,2.0157173,1.169522,0.49475694,-2.7567854,1.0691963,1.5760741,vocal jazz
1.9350642,2.925071,-1.662624,0.610523,2.1454098,-1.1893172,0.3279665,1.6912047,-2.2260113,1.4755498,1.8642036,0.63191915,0.061432123,-1.5688193,1.0994678,0.32746097,jazz vocal
0.88235545,0.7770045,-1.0927051,0.25220725,0.7817091,0.41952503,0.75043005,0.16723801,-0.61090845,1.1959659,0.79074407,0.088234656,0.8594427,-0.4934137,1.4026659,0.10243986,jazzy
5.8968735,-1.2351215,-5.2079687,-1.9475492,1.6396106,-2.3852308,-2.091792,0.9576858,-0.72437644,0.04103686,-0.19931422,1.1892954,-1.4438245,-0.4467767,-1.2155613,5.3260584,mellow
1.2176428,1.1059402,-2.4363296,-2.029495,0.6396382,-1.9858629,0.19261587,0.038021617,0.30661774,2.2927938,0.7501344,0.63392574,0.2280421,-0.6838428,1.3388025,0.880027,acoustic
2.172002,0.44564217,-0.83271635,0.55641186,1.6904675,-0.19640084,1.089381,-0.369404,-1.2483964,0.6078684,1.7771775,1.3838878,1.327816,0.043960735,0.43069497,-0.18038037,relax
0.6173204,1.2163879,-0.8831184,-0.61685437,0.3704649,0.010872701,0.89648914,0.16406198,-0.72457755,1.1285824,1.2646831,0.051061373,-0.08221338,-0.3322206,0.50625527,-0.12363864,vocal
1.3230304,1.3848319,-2.0998974,-0.5360049,1.1427132,1.5824722,1.7609571,-1.3578619,-4.14146,2.3985999,0.13774888,1.1181546,0.69703287,-0.4817881,1.5105815,1.7109828,nu jazz
2.904938,1.2982095,-2.8380704,-0.5042668,0.05802909,0.3729098,2.224553,0.23905212,0.80771023,-0.68984497,0.11274227,2.1314297,0.7184899,2.5199459,-2.8736432,1.4237309,favorites
0.5976029,0.39670134,-0.9942113,-0.69168925,-0.15850271,0.55444443,-0.26631483,0.53230774,-2.7828388,1.9238359,1.7751803,-0.40528366,1.5088856,-2.377688,1.059769,1.4569219,modern jazz
1.4887012,0.5811756,0.04312769,-0.74311715,0.6681976,-1.1580135,0.12982626,-0.2812799,-1.3089023,0.9602465,-0.075697675,-1.1162034,0.5582313,0.9200136,-1.1209096,1.7700821,coffee break
0.6090243,0.7382665,-1.0208422,-0.33065018,-0.7585092,-1.7071835,-0.6910039,1.1573752,-4.2910147,0.037010826,0.37879246,-0.44358078,3.0752232,-0.013498856,-1.6103749,1.8523427,10
1.5954663,0.8427155,0.19317731,-0.98714614,1.1900198,-1.4266284,-0.12872191,0.7075447,-2.259431,-0.38174698,0.35757253,-0.2679884,1.6594853,-0.6921376,-0.76285636,1.334889,wonderful voice
