0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,term
6.794757,12.441041,-4.453976,17.115156,1.3772852,-13.0453005,-1.514249,-15.700028,6.998513,-1.2627736,5.601546,4.2929325,8.38482,-6.089519,11.74095,-6.8563204,alternative rock
-8.6097975,10.365441,4.3023806,-3.338416,-4.4467335,-3.548826,8.546067,-8.236652,7.5747843,5.4689627,3.6781082,-14.0442,8.787666,-12.192325,-2.94309,-8.753601,rock
1.107384,-1.9298342,9.711931,15.818539,-5.449526,-17.63456,-5.602865,-16.829737,-2.8980777,4.229951,17.679968,-5.969156,-2.9428265,-3.8686726,-6.8490567,-7.1761084,hard rock
-0.42804533,-9.404607,-10.938291,3.869264,-0.9391399,-1.1947211,-13.847853,-22.209131,2.9478226,8.6740265,0.16112205,-9.874389,-0.20916039,-21.395378,-2.5867648,-9.291066,heavy metal
9.885828,-0.525032,-1.1263046,8.168159,-0.25545508,-7.9275613,-3.8148777,-3.3593218,7.422383,12.7348585,4.7728877,-1.1896837,-1.4078305,17.431852,12.292216,5.058893,00s
-5.5675178,-2.558216,-1.2754707,-5.6767225,7.0322857,3.7643285,8.300579,-8.133329,6.3944583,9.452797,1.5606363,1.2905209,-12.92147,-5.158434,-5.7619658,-0.080068946,5
-0.27909464,-3.7288637,-8.879273,-9.107268,3.0104084,4.0515356,7.973028,-2.0443735,-0.7905487,-3.323014,-3.1122508,-5.9792476,-11.129485,-2.765889,-2.2468948,5.691676,check this out
3.5204093,-3.5016818,4.996606,-0.25891513,4.955284,4.870811,-15.400559,-11.185285,8.655644,11.022457,6.7547817,3.006466,-5.9548187,0.13518853,-13.215605,4.2433443,bay area
4.596674,-0.89085644,6.936055,6.8251543,7.020741,-4.3054724,-12.23049,-0.1755051,-6.1545663,-13.122732,9.6829405,11.008244,-1.5677074,-2.399289,-1.8452233,-13.590091,classic
5.4390926,-13.546795,-11.8220625,0.6671122,-1.6574273,-12.990032,-3.7866914,-2.3572285,-10.311046,-4.2551284,22.002949,-3.702311,3.560064,16.043377,-0.50715494,0.35666654,hip-hop
-8.694326,-15.790059,-6.7333317,-10.11451,1.7985383,-0.87618554,-10.07951,-7.248464,0.15607256,2.1528404,9.805832,14.508136,-0.19553472,2.2251432,-14.198952,-3.1089418,stream
2.840562,-10.550754,0.35369042,2.5367715,2.5100827,0.23464878,0.6065348,-1.8644516,0.5284033,-3.2400575,-0.5106701,5.928891,-4.1282706,3.8960752,-10.754749,2.760192,1979-2006: a hip-hop odyssey - 800 tracks in a 48 minute mix
-17.712133,14.35852,4.2153673,-3.5828626,2.3512447,-7.772755,-13.577506,10.194526,-5.1477723,-9.348342,-8.3255415,-4.1856775,13.738357,-2.591368,1.8318613,-7.563937,60s
-26.388353,-1.172964,-0.5173083,-1.9573647,4.494516,-12.222927,-3.7969892,-2.2071102,-1.7163997,-10.09427,11.330505,1.9503895,-2.8399878,12.898064,0.641218,-1.1495479,soul
-11.806465,16.344603,-0.62829316,11.050864,8.248124,-11.968085,8.105075,-0.029745098,-9.618171,-4.4240727,8.028786,-1.8655809,9.278376,-1.1998186,2.167758,8.624117,pop
-2.0073504,14.889723,7.3052835,5.746086,16.89767,-3.9037268,-7.6815057,0.60175383,7.047096,5.58199,5.6264462,-5.740859,6.0411425,7.014068,-1.1517444,-7.2990556,male vocalists
-13.941875,3.7104928,23.815243,5.0736246,2.7224715,-4.884318,-3.9899306,9.217632,-11.807372,5.888945,4.6277223,-10.683298,4.2152305,-3.443716,-1.1555495,-2.8284588,oldies
-12.409637,10.192003,7.026596,2.5773141,9.359568,8.287207,-9.857688,2.3972292,6.564479,-7.1794176,-5.6422477,1.8763263,-6.7451334,-5.5768886,-7.641779,1.6259489,1969
-9.692263,5.5811167,3.3154635,-0.6465288,8.732949,-6.3895707,5.9497685,9.808654,-0.51456934,6.0790315,-8.162143,-1.9123938,-4.964986,0.92933077,-11.221334,-9.948206,close harmony
-13.091696,3.9939542,8.514231,16.419918,-5.8326836,-3.984515,-14.1478615,13.842987,-4.903403,-8.112277,-9.955771,-2.787426,-5.436927,1.6474159,4.6707687,2.5796018,1960s
-4.587665,13.635337,5.930758,11.450088,4.7916245,4.187195,-9.4431505,14.0271225,-0.20789666,6.0438333,-9.639258,4.7193174,-1.5559877,-8.531278,-1.8352451,-3.3471005,sixties
4.3910937,14.122785,1.3262142,-3.9272497,0.38937625,-21.318222,-7.4060693,-5.1759486,-6.1709642,-8.268727,9.786453,-12.741428,1.9294279,9.013758,11.854156,-7.039852,beautiful
-4.678977,2.9655557,4.4421144,7.6550694,6.612273,-6.5566826,12.459321,0.32419774,1.9942503,-2.0435212,15.467503,-16.826633,-7.8501005,9.7278,2.5978975,-5.0411053,love
-13.723444,4.6349163,-2.4318933,9.248544,7.172676,1.4232469,-6.3386855,5.500169,2.8879013,5.4261403,-7.7232704,3.6415186,-7.5095453,-5.992535,-10.4932575,-3.741941,60's
-6.4049487,-3.7994235,4.923213,10.096944,7.17061,6.186762,-1.949561,3.5590339,-6.260421,-0.12493289,-7.642588,-4.7645493,-8.445391,-11.527537,-2.007403,2.8076055,1960's
-6.327871,0.71458,4.9124246,3.4570746,8.279314,5.401303,2.1050262,8.953924,-0.15687361,-8.132045,-8.274973,-1.024151,-3.002781,-5.2162485,-8.817669,-5.994915,jukebox heaven
-13.786294,6.434345,3.081378,5.068854,2.673528,3.402896,7.92234,14.580448,-1.3436445,-7.584678,-5.0528765,-6.6015863,-0.9155496,-5.494112,-9.85018,-3.7240324,60s gold
-15.867317,3.012507,3.4263444,1.8503518,1.5209459,2.2359693,7.9930987,11.509842,-3.5017014,-9.259901,-2.9666264,-6.5654306,-3.6097085,-5.875003,-8.092146,-3.622934,gh10
-8.543956,-2.5772629,8.4495325,5.6252456,-1.8829746,4.4016886,1.3764721,3.9136927,-1.8014427,-6.6382613,-1.400695,3.535363,-4.829253,-13.001443,-10.08838,-7.2258983,radiotsar approved
-15.33886,-2.8717759,2.2697732,12.017259,3.572259,2.5682049,-13.846746,0.43734404,1.4977158,-6.4600706,13.559905,-16.282297,2.365492,-2.3398287,-6.326385,-10.276547,classic rock
-10.653135,10.594728,-7.7031937,3.7138472,-6.3682466,5.4525847,-2.5630586,-0.28879866,17.067984,-20.690142,-0.1916816,-4.9355645,9.839363,-2.22074,-1.4050589,-4.0889215,psychedelic
-5.999662,3.3496428,14.179842,7.719115,-6.9980702,-14.283162,-15.83737,-11.638381,-5.4206085,-10.07139,-5.162495,-8.935673,0.76227224,-14.8418865,7.6095176,-11.654986,blues rock
-9.998914,2.3108144,8.62461,-12.460212,15.146258,-8.14849,6.6751614,-20.712269,0.91759074,1.2446963,19.21483,2.1174097,8.946137,2.2542808,-0.59974754,2.9777544,latin
-11.547251,-0.27323726,2.808568,-13.780116,-0.029982662,-2.2975962,-3.1930606,6.1124334,-13.307837,-4.5086575,18.298767,-0.25152054,15.752088,-2.4147422,-3.3678772,-5.6584706,jazz
-9.624327,-2.141624,1.5772285,5.886013,-2.823787,-18.493252,10.195393,0.59552336,-10.962036,-4.79792,5.16344,-0.81035835,1.9382359,-4.1510215,7.842368,-16.585342,singer-songwriter
